_id,role_id,full_name,date_of_birth,gender,address,email,phone_number,password,avatar_url,status,is_deleted,created_on,modified_on,created_by,modified_by
694d372974c83cc130bef8fb,694d372874c83cc130bef8f8,test_user_01,1964-04-08,female,Cần Thơ,test_user_01@bluewin.ch,1767173761,$2b$10$mIRA/vw3ZKfFA.VN55ixn.JsBQ3yCS06V7VevBQ3dtyck0er60R8G,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTNnNH0c03eYhzzID8_Y6mHwZYYGjXLfnreH7RyT9f9GVRtT0yR7vklbKx3As07G6DCGYY&usqp=CAU,active,False,2025-12-25 20:07:53,2025-12-25 20:07:53,data generation,data generation
694d372974c83cc130bef8fc,694d372874c83cc130bef8f9,test_user_02,1952-12-14,female,Phú Thọ,test_user_02@ymail.com,1767173782,$2b$10$/mYv7b24di9vULnKW1KtqugBqrY7rn/8ScxgyZsGQPi3FgBzrhk2y,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTNnNH0c03eYhzzID8_Y6mHwZYYGjXLfnreH7RyT9f9GVRtT0yR7vklbKx3As07G6DCGYY&usqp=CAU,active,False,2025-12-25 20:07:53,2025-12-25 20:07:53,data generation,data generation
694d372974c83cc130bef8fd,694d372874c83cc130bef8f9,test_user_03,2011-02-24,female,Ninh Bình,test_user_03@sky.com,1767173788,$2b$10$uv3uhe.MQPbJBNaQJl/4/eCAeRomDpOPDng8M.PrMfR/0nsgJHAqi,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTNnNH0c03eYhzzID8_Y6mHwZYYGjXLfnreH7RyT9f9GVRtT0yR7vklbKx3As07G6DCGYY&usqp=CAU,active,False,2025-12-25 20:07:53,2025-12-25 20:07:53,data generation,data generation
694d372974c83cc130bef8fe,694d372874c83cc130bef8f9,test_user_04,1997-07-15,other,Cà Mau,test_user_04@yahoo.com.mx,1767173791,$2b$10$HY6AYuBrwx8j/RHvW3ZuI.9FzYzig7m/ciykg.jbK.Ma2IfsohOIu,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTNnNH0c03eYhzzID8_Y6mHwZYYGjXLfnreH7RyT9f9GVRtT0yR7vklbKx3As07G6DCGYY&usqp=CAU,active,False,2025-12-25 20:07:53,2025-12-25 20:07:53,data generation,data generation
694d372974c83cc130bef8ff,694d372874c83cc130bef8f9,test_user_05,1935-11-26,female,Đồng Nai,test_user_05@blueyonder.co.uk,1767173794,$2b$10$A7xuVbrmhxualPIp80jhXuUrA5DBzsTNx20dcaG.CTWMlfCrE6DVW,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTNnNH0c03eYhzzID8_Y6mHwZYYGjXLfnreH7RyT9f9GVRtT0yR7vklbKx3As07G6DCGYY&usqp=CAU,active,False,2025-12-25 20:07:53,2025-12-25 20:07:53,data generation,data generation
694d372974c83cc130bef900,694d372874c83cc130bef8f9,test_user_06,2017-10-02,male,Cao Bằng,test_user_06@aim.com,1767173796,$2b$10$Eq0Zk0wLQXmOYOkRlyAR2utPIGBC2wu1r095xTu.MZouk2gtW7loK,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTNnNH0c03eYhzzID8_Y6mHwZYYGjXLfnreH7RyT9f9GVRtT0yR7vklbKx3As07G6DCGYY&usqp=CAU,active,False,2025-12-25 20:07:53,2025-12-25 20:07:53,data generation,data generation
694d372974c83cc130bef901,694d372874c83cc130bef8fa,test_user_07,2005-03-11,other,Cần Thơ,test_user_07@rediffmail.com,1767173799,$2b$10$ZzlElD0KO/nAg7edgnSXn.w67SiVu4MPmEwb7dptOzXwWXf5SjBGa,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTNnNH0c03eYhzzID8_Y6mHwZYYGjXLfnreH7RyT9f9GVRtT0yR7vklbKx3As07G6DCGYY&usqp=CAU,active,False,2025-12-25 20:07:53,2025-12-25 20:07:53,data generation,data generation
694d372974c83cc130bef902,694d372874c83cc130bef8fa,test_user_08,1921-12-28,other,Gia Lai,test_user_08@centurytel.net,1767173801,$2b$10$g1UtJzDMwB5NcADK67XCHemjJVModqG/HdkXPevzsffHs8YSPP0TO,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTNnNH0c03eYhzzID8_Y6mHwZYYGjXLfnreH7RyT9f9GVRtT0yR7vklbKx3As07G6DCGYY&usqp=CAU,active,False,2025-12-25 20:07:53,2025-12-25 20:07:53,data generation,data generation
694d372974c83cc130bef903,694d372874c83cc130bef8fa,test_user_09,1939-12-05,other,Hà Nội,test_user_09@bigpond.net.au,1767173804,$2b$10$NUtFi5EdrYGk66D8b8Za3OmEtTAzZ.cSTHYX1IPr7tdURY4jC7Ou.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTNnNH0c03eYhzzID8_Y6mHwZYYGjXLfnreH7RyT9f9GVRtT0yR7vklbKx3As07G6DCGYY&usqp=CAU,active,False,2025-12-25 20:07:53,2025-12-25 20:07:53,data generation,data generation
694d372974c83cc130bef904,694d372874c83cc130bef8fa,test_user_10,1944-04-21,male,Thái Nguyên,test_user_10@mac.com,1767173806,$2b$10$YMQJ2hD15qCRuYQtSnJMJuS34iE8KYIgcH1fHVAOwyUrhpNqvyC4.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTNnNH0c03eYhzzID8_Y6mHwZYYGjXLfnreH7RyT9f9GVRtT0yR7vklbKx3As07G6DCGYY&usqp=CAU,active,False,2025-12-25 20:07:53,2025-12-25 20:07:53,data generation,data generation
694d372974c83cc130bef905,694d372874c83cc130bef8fa,test_user_11,2021-06-17,male,Phú Thọ,test_user_11@web.de,1767173808,$2b$10$VMvnxdJKz0WNTSuwl0mIl.w.YaXK8p5jGAdAZnMWJBsROTcfNpQ12,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTNnNH0c03eYhzzID8_Y6mHwZYYGjXLfnreH7RyT9f9GVRtT0yR7vklbKx3As07G6DCGYY&usqp=CAU,active,False,2025-12-25 20:07:53,2025-12-25 20:07:53,data generation,data generation
