role_id,full_name,date_of_birth,gender,address,email,phone_number,password,avatar_url,status
69417f45dd9292ffeb5de41f,test_user_01,1963-08-11,other,Cần Thơ,test_user_01@yahoo.fr,1766135974,$2b$10$M12uNW9Aet9lT0LW3Kyc5O5c9/50kblzx6HQKCPegQtHS5r3136C2,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTNnNH0c03eYhzzID8_Y6mHwZYYGjXLfnreH7RyT9f9GVRtT0yR7vklbKx3As07G6DCGYY&usqp=CAU,active
69417f45dd9292ffeb5de420,test_user_02,2014-05-27,female,Hải Phòng,test_user_02@tin.it,1766135994,$2b$10$HisVP8ZZL122bZtJRtSHGOzbFGRwjO03sPWDryjnzYrQdqnZMNunu,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTNnNH0c03eYhzzID8_Y6mHwZYYGjXLfnreH7RyT9f9GVRtT0yR7vklbKx3As07G6DCGYY&usqp=CAU,active
69417f45dd9292ffeb5de420,test_user_03,1995-07-16,male,Lào Cai,test_user_03@tiscali.it,1766136000,$2b$10$z6pZlN5rAMq..B/FtEGjmOrQIQKprYsdEb/djYFGqgJ9EiULZKP8.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTNnNH0c03eYhzzID8_Y6mHwZYYGjXLfnreH7RyT9f9GVRtT0yR7vklbKx3As07G6DCGYY&usqp=CAU,active
69417f45dd9292ffeb5de420,test_user_04,1977-04-01,other,Khánh Hòa,test_user_04@icloud.com,1766136003,$2b$10$adL1JMEM1yNLL0yIOXvKqedPc3zkTN5W58ho3h8Z3ckc6B4MxWMc6,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTNnNH0c03eYhzzID8_Y6mHwZYYGjXLfnreH7RyT9f9GVRtT0yR7vklbKx3As07G6DCGYY&usqp=CAU,active
69417f45dd9292ffeb5de420,test_user_05,1999-04-16,female,Cà Mau,test_user_05@arcor.de,1766136006,$2b$10$cOwzpCsyd9APPdX2zpCiWOLklauzD9vjHUQFDSRt1Pv251GhI.hAa,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTNnNH0c03eYhzzID8_Y6mHwZYYGjXLfnreH7RyT9f9GVRtT0yR7vklbKx3As07G6DCGYY&usqp=CAU,active
69417f45dd9292ffeb5de420,test_user_06,1941-08-23,male,Tuyên Quang,test_user_06@outlook.com,1766136008,$2b$10$6b/6.GT62f7.33vFr1WcBeB6LRaNeeNHmwmV6B3KTInvJK67FefB2,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTNnNH0c03eYhzzID8_Y6mHwZYYGjXLfnreH7RyT9f9GVRtT0yR7vklbKx3As07G6DCGYY&usqp=CAU,active
69417f45dd9292ffeb5de421,test_user_07,1984-05-16,other,Thái Nguyên,test_user_07@mail.com,1766136011,$2b$10$C8lU1CboEdD3PogK3iC1u.IE5ku4brJrh7AFhcwtRvgn..sCGwvDq,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTNnNH0c03eYhzzID8_Y6mHwZYYGjXLfnreH7RyT9f9GVRtT0yR7vklbKx3As07G6DCGYY&usqp=CAU,active
69417f45dd9292ffeb5de421,test_user_08,1958-01-20,other,Gia Lai,test_user_08@hetnet.nl,1766136013,$2b$10$W6W6FtbE7fmbhgTNzZw9oOSAAmgvWvAx8htACrsYvHGT050dpJKPu,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTNnNH0c03eYhzzID8_Y6mHwZYYGjXLfnreH7RyT9f9GVRtT0yR7vklbKx3As07G6DCGYY&usqp=CAU,active
69417f45dd9292ffeb5de421,test_user_09,2003-05-04,female,An Giang,test_user_09@yahoo.com.au,1766136015,$2b$10$GIi5E8GgSKV0q67vIcVBkO9xtlcTonRdvx38y62vOPRNaSYMCUjLC,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTNnNH0c03eYhzzID8_Y6mHwZYYGjXLfnreH7RyT9f9GVRtT0yR7vklbKx3As07G6DCGYY&usqp=CAU,active
69417f45dd9292ffeb5de421,test_user_10,1973-02-28,other,Điện Biên,test_user_10@arcor.de,1766136017,$2b$10$z1ZCkK25bAzAelAQCu4jxuGOYdYpjsG0EFO6aGlALyE2omnkbn/Ba,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTNnNH0c03eYhzzID8_Y6mHwZYYGjXLfnreH7RyT9f9GVRtT0yR7vklbKx3As07G6DCGYY&usqp=CAU,active
69417f45dd9292ffeb5de421,test_user_11,1982-05-12,female,Đắk Lắk,test_user_11@ntlworld.com,1766136019,$2b$10$mWX3bKHO8mxliiZlH/wZyekgobJ965mZ7wyV0DnaNelnUMbmTAdbC,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTNnNH0c03eYhzzID8_Y6mHwZYYGjXLfnreH7RyT9f9GVRtT0yR7vklbKx3As07G6DCGYY&usqp=CAU,active
